document_id,Cleaned_Review,sentiment
1,In grand scheme thing Fight Club le group people like fight commercialism inherent society drive people edge The unnamed narrator Edward Norton join soapmaker Tyler Durden Brad Pitt found Project Mayhem whose goal undermine everything corporate Part modus operandi involves starting fistfight But point narrator realizes going farand he helpless stop madnessFight Club certainly one best movie Not fullscale indictment commercialism also acting script direction topnotch This movie one best example modern classic,Positive
2,To honest I saw title movie I thought going another mindless action film But something happenedI actually watched I thought movie genius It wasnt much fighting It schizofrenic office worker suffered insomnia Brad Pitt star movie played character Tyler Durden flawlessly Throughout movie Ed Nortons character narrator trying fight inner demon preventing getting sleep With help several small terrorist group disturbed female pretended suffer testicular cancer Tyler Durden self righteous psycho narrator finally resolve problem I feel I would enjoyed movie much brother spoiled damn ending I watched even without surprise ending Fight Club still make top,Negative
3,Fight Club isnt bad movie nearly good people make beIt really come pretentious piece work film student study point exhaustion I dont think ever intended The movie play key alteration scenebyscene retelling book sometimes going far lift paragraph inner monologue directly novel plopping scriptIts movie requires least two viewing beyond get boring pretty big hurry Particularly toward end second actbeginning third painfully bland boring difficult care anything thats happening around whole Project Mayhem stuff Its difficult maintain kind focus throughoutTheres lot stuff hidden movie people go back revisit inessential Honestly looked back Easter egg leaf question care And course unpopular opinion I held reviewing title honest hope multiple viewing would raise rating I even read Palahniuks novel try derive additional meaning itWithout giving away ending make think creates nice gimmick get people watch I said beyond Im perfectly happy close chapter one leave pastThe first rule fight club dont talk fight club And Im happy done talking one good long,Positive
4,Similar idea American Beauty certainly style content bleak look underground culture spiritual redemption brings easily one intelligent film Ive ever seen Directed man brought u superb The Game another film youll see truly understand Focusing sad whitecollar middleclass Norton whose real dream life content IKEA catalogue follows chance meeting charismatic stranger Pitt unfortunate event conspire draw together After night hard drinking start friendlyish scrap viewed couple others small acorn mighty oak called Fight Club grows This point around whole film revolves Norton Pitt forming underground club draw disillusioned young men join Based firm Queensbury Rules cathartic bloody way spend night Eventually becomes huge operation Pitt de facto leader move gear creates cult secret society This film becomes brilliant twist near end magnificent better even much talked The Sixth Sense It much say thing emasculation entire generation young men No great war fight great depression growing isolation feel one another need find something draw u back together importantly power exciting challenging idea fermentation cultism However many film would say This bad thing Fight Club doesnt It condemnation materialistic society forgotten large section You empathise men completely even band together uncaring society reared something instinct dont understand Its close genius youll get one film youll talk think day,Positive
5,The Fight Club movie like successful equally troubled cousin The Matrix philosophical theme originality presentation also strong satire Another movie similar way vastly superior intelligent fun American Psycho The plot adapted eponymous book borrows idea Dostoevskys The Double put Thus spoke Zarathustra along way It derivative good certainly good cult follower would suggest In case given hype I expecting There good point along way especially anticipation terrorism good transformational scene like confronting bos overall come across much shallow reputation would suggest It high style influence lot idea crammed might even revolutionary respect time like Matrix I also find bit missing perhaps worth watch perfect masterpiece assume It may seem perhaps teen incels millenials successful sophisticated rendering idea Tone expectation give try movie work bit piece originality sometimes given WAY much credit,Positive
6,A dark comedy cult following Director David Fincher take Chuck Palaniuks novel maybe harsher dangerous place Known The NarratorEdward Nortonis corporate employee longer enchanted elaborate apartment expensive furnishing pretty much disenfranchised life concerned lack ability sleep He attends selfhelp group relish miserable people surrounding He meet suicidal Marla SingerHelena Bonham Carter want distance Life changing meeting soap salesman Tyler DurdenBrad Pitt anarchy poster child Durden thrives roguish rebel convinces The Narrator staging impromptu boxing match parking lot deserted building basement These match bare chested bare knuckle The fighter beat living crap one yell stop Durden credited starting fight club across nation eventually turn club aggression laden prankster releasing malice corporate AmericaBrutal violence strong language expected along pretty graphic image Also cast Meat Loaf David Andrews Zach Grenier Jared Leto Eion Bailey,Negative
7,This movie one greatest time It adapted book Chuck Palahniuk This movie interesting theme like emasculation violence chaos societal breakdown isolation threat death consumerism The direction sublime Perfect cinematography pacing editing The twist nuance book captured perfectly Also good job intercuts Brad Pitt Edward Norton perfect choice lead movie When watching movie glued seat good,Positive
8,This good example happens people whove reading comic book watched better movie life get make I may wrong assessment David Finchers adolescent pursuit point Im trying get little articulate nothing even remotely original Fight Club Both conceptually visually seems one big incoherent messy smorgasbord Orwell early MTV Kubrick punk etc etc When unnatural coolness jump cut hipper thou narrative flickering image stripped away youre left bunch halfass unfinished idea capitalist social order human nature battle sex meaning life modern world male frustration etc And movie chooses treat character solely metaphor rather tell story especially important least shred uniqueness point view present As Fight Club doesnt even seem coherent point view subject touch maybe go let feel good Yeah man rocknrollIt begin nameless character played Edward Norton known credit Narrator spiritually physically beaten yearold professional fighting insomnia seeking way reconnect world although I doubt ever properly connected begin He engaged losing battle life chose although judging misery youd think somebody else chose Battle thats fought modern day yuppie frontlines corporate office airport expensive IKEA decorated condo airline first class business trip etc desperate need something Watching aside one would think something emotional comfort meaning love thing along line Whatever seems found albeit briefly various disease support group start frequent pretending different ailment disease every day week Listening people case dying open problem give visceral sense freedom Suddenly sleep enjoy life I let go I found freedom Losing hope freedom reason Until Marla Singer Helena Bonham Carter stroll life mess She see also tourist someone pretending sick knowledge another person like present meeting bother Narrator point insomnia return He confronts avoid running divvy meeting lame exchange try funny end resembling something Rachel Chandler might say FriendsThe story shift Narrators relationship strange fascinating fellow named Tyler Durden Brad Pitt hit plane business trip Their bond intensifies Narrator return home find condo blown smithereens result electrical malfunction Having family friend turn time need call Tyler soon move boardedup apocalyptic house On Tylers insistence found weekly fight club start jealously guarded secret clique young male nurse anxiety frustration beating bloody pulp Bingo This Narrator looking adult lifeSoon though whole thing grows popularity Marla make return Tylers behaviour take stranger turn problem start pile It part movie make various cheesy point Caseinpoint scene Tyler ambush convenience store take clerk outside point gun head threat death force go back college Wow symbolism overload And deep tooThe rest movie seldom get better including sketchy ending feature crucial fistgun fight bomb obligatory display counting thing true Hollywood action movie withoutIn end I kinda felt like I watched extended commercialmusic video made think Spike Jonze Then I learned David Fincher also directed music video And although viewable Jonzes dismal Being John Malkovich still pretty mediocre offering Those refer Fight Club masterpiece probably also consider Eminem Fred Durst modern generation sharpest voice,Negative
9,Movies like intensely frustrating They get close greatness mark enticing good last second spite pull back go Hollywood ending And almost forget brilliance rest movie And filmmaker come close blocking memory great part movie one crucial scene need beat Or face shoved Meat Loafs mantittiesBut I mostly forgive David Fincher leaving copout ending simply rest movie darn good This seems stem mostly Jim Uhlss close adaptation Chuck Palahniuks novel masterpiece existentialist grit wit The film follows book plot incorporating much Palahniuks clever bitter commentary material society Edward Nortons jaded voiceover narration unnerving five second take get rhythm story Thats good plot adapted settle right rhythm dark tone match book perfectlyEdward Norton perfect choice Fight Clubs bored protagonist Brad Pitt Tyler enigmatic man encourages Nortons character join starting fight club In club men come basement bar essentially beat attempt reach core manhood screenplay say far deftness I But much fight club Nortons narrator soon discovers Tyler plan change fabric society process change fabric Nortons character life realizes firstFor entire movie Fight Club man slavery society escape Unfortunately ending I wont spoil take entirely different direction theme result take movie entirely different direction greatness The ending book however perfect Fincher stuck book entire first two hour movie couldnt use book perfect ending last minutesIts still mustsee though idea expressed movie everyone hear ponder Plus freaking good entertainment,Positive
10,Fight Club run bit hour For first hour minute I found movie difficult watch enjoy I kept wondering Ed Nortons character continued put Brad Pitts outofcontrol character To movie seemed one big mess However patience trust director paid I watch much movie twice really appreciate good I rate predict one groundbreaking film viewer critic refer year much like The Matrix The Sixth Sense It definitely someone mature mind understand subtlety enjoys studying film This film definitely meant funny absurd take life dark tone It isnt really fight club although fighting presented avenue character deal inner conflict It intended represent reality suggest fighting good Its closest prior film perhaps Doctor StrangeloveI saw film DVD The sound perhaps best Ive heard far There several crash explosion throughout movie realism good made cringe But good subwoofer enjoy allNow CAUTION SPOILERS FOLLOW READ AT YOUR OWN RISKHowever I think people enjoy movie first viewing understand total concept So isNorton play narrator introductory scene find conventional existence traveling job recall coordinator major automobile manufacturer By admission slave IKEA nesting instinct travel CK shirt DKNY shoe say total existence close complete Fighting completely foreign But deep subconscious hate becoming die life meaninglessBrad Pitts character Tyler Durden Nortons alterego They one person In opening scene see various singleframe flash stopaction DVD help see clearly Pitts Tyler assume still Nortons subconscious first begin realize hate existenceThen buisness flight talking lady seated next Norton think I pray crash midair collision quickly followed highly realistic dream collision Pitts Tyler Durden rest trip actually sitting next Norton conversing This prayer crash consciousness first make Pitts Tyler totally real NortonThe rest movie many scene Norton Tyler see later one else ever see Brad Pitts Tyler see Norton Tyler Brad Pitts Tyler explained way You looking way change life You could All way wish could thats I look like want look free way Little little youre letting become Tyler DurdenThe movie title unfortunately misleading small part movie really fighting used way disillusioned men get frustration One line Norton This kid work Ricky couldnt remember ordered pen blue ink black But Ricky god minute trounced maitre local food court explains gist fight It symbolizes one area complete control pleasure painThat last comment maitre local food court illustrates comedic approach much movie Who ever heard food court maitre How much lower food chain could get Or Ricky supplying ink pen work One fight club assignment pick fight stranger lose number funny sequence itThe movie turn dark fight club kick notch begin plot destruction major building housing credit card company The rationale destroy record debt everyone start ground zero When Nortons Tyler finally hour minute film finally figure done try unsuccessfully twarth plan The final scene show girlfriend standing window highrise sequentially bomb go building crash various pile rubble Reminiscent final scene Doctor Strangelove nuclear bomb going destroying worldThe closing line Norton say Everything alright You met really strange time life Again dark humorThe genius film resides premise two main character represent two extreme person end real Tyler Durden meet middle Once know premise watch whole movie context I found much enjoyable made much sense every scene Tylers done completely character premiseThe DVD also second DVD devoted extra interesting like study art filmmaking However plan spend minimum hour total viewing studying film get full impact,Positive
